日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,新竹,AMB_TEMP,20,19,19,18,17,17,17,17,19,21,22,24,24,24,23,23,22,21,21,20,20,20,19,19
2017/01/01,新竹,CH4,1.8,1.8,2.1,2.4,2.4,2,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2.2,2.1,1.9,1.9
2017/01/01,新竹,CO,0.28,0.32,0.42,0.62,0.49,0.39,0.47,0.56,0.4,0.45,0.32,0.25,0.19,0.15,0.16,0.15,0.21,0.28,0.28,0.53,1.06,0.85,0.54,0.32
2017/01/01,新竹,NMHC,0.12,0.13,0.21,0.32,0.28,0.21,0.25,0.23,0.13,0.16,0.15,0.08,0.06,0.04,0.05,0.05,0.07,0.12,0.13,0.26,0.45,0.33,0.19,0.11
2017/01/01,新竹,NO,1.7,1.8,1.8,7.8,7.9,5.4,12,18,8.4,11,5.1,2.1,2.1,2.2,1.7,1.5,1.5,1.3,1.2,1.3,15,17,6.4,2.1
2017/01/01,新竹,NO2,11,11,10,19,18,18,18,19,18,20,14,8.1,7.7,6,4.5,5.9,11,12,11,24,34,31,27,18
2017/01/01,新竹,NOx,13,13,12,27,26,24,30,37,26,31,19,10,9.8,8.2,6.1,7.4,12,13,12,25,49,48,33,20
2017/01/01,新竹,O3,26,24,17,0.9,0.8,2,0.7,3.1,12,20,37,49,46,47,46,44,37,34,33,18,2.4,0.9,3.1,12
2017/01/01,新竹,PM10,23,24,26,31,34,30,28,27,26,28,34,34,34,39,41,42,46,51,54,59,64,67,74,79
2017/01/01,新竹,PM2.5,11,12,12,16,15,10,12,15,11,9,18,19,15,13,9,11,19,23,23,27,28,28,35,38
2017/01/01,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,新竹,RH,74,75,76,81,82,81,81,79,77,72,68,64,63,68,72,74,78,79,82,83,84,86,89,90
2017/01/01,新竹,SO2,1.8,1.1,1.3,1.4,1.4,1.7,1.7,1.8,1.8,2.2,2.7,1.9,2.4,2.2,1.9,2,1.9,2.1,2.1,2.7,2.5,2,1.9,1.7
2017/01/01,新竹,THC,2,2,2.3,2.8,2.7,2.2,2.3,2.3,2,2.1,2,1.9,1.9,1.8,1.8,1.8,1.9,2,2,2.2,2.6,2.4,2.1,2
2017/01/01,新竹,WD_HR,65,78,80,225,156,83,82,78,81,34,294,279,278,61,72,72,63,59,59,295,189,215,192,173
2017/01/01,新竹,WIND_DIREC,67,77,208,239,87,95,14,38,88,278,323,286,284,38,66,82,51,73,58,285,178,223,178,164
2017/01/01,新竹,WIND_SPEED,1,1.2,0.6,0.6,0.6,0.6,0.5,1.2,1,0.8,1.2,1.8,2.3,1.8,2.4,1.7,2,1.4,0.9,0.4,0.7,1.1,1.5,0.9
2017/01/01,新竹,WS_HR,0.9,0.9,0.5,0.5,0.1,0.5,0.3,0.3,0.6,0.3,0.8,1.3,0.7,0.3,0.9,1,1,1,0.8,0.7,0.6,0.6,0.9,0.9
2017/01/02,新竹,AMB_TEMP,19,19,19,19,19,19,19,19,19,21,22,23,22,22,23,22,22,22,21,21,21,20,20,20
2017/01/02,新竹,CH4,1.9,1.9,1.9,2,2,1.9,1.9,2,2,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9
2017/01/02,新竹,CO,0.31,0.26,0.26,0.28,0.3,0.33,0.41,0.5,0.6,0.45,0.32,0.33,0.25,0.25,0.27,0.3,0.33,0.37,0.38,0.35,0.44,0.5,0.57,0.42
2017/01/02,新竹,NMHC,0.11,0.09,0.09,0.11,0.1,0.1,0.13,0.46,0.28,0.18,0.1,0.11,0.06,0.06,0.09,0.1,0.1,0.14,0.15,0.18,0.18,0.26,0.28,0.2
2017/01/02,新竹,NO,1.4,1.2,1.2,0.7,0.7,0.7,0.9,3.6,13,8.2,5.6,4.6,3.6,2.5,2.3,2,1.3,1.1,1.1,1.1,1.1,1.5,1.8,1.1
2017/01/02,新竹,NO2,15,15,12,13,12,10,14,21,24,19,14,15,11,9.4,9.4,12,15,17,18,16,19,26,32,24
2017/01/02,新竹,NOx,17,16,13,13,13,11,15,24,37,27,20,19,14,12,12,14,16,18,19,17,20,27,33,25
2017/01/02,新竹,O3,16,22,17,19,19,17,13,8.2,3.9,18,29,33,38,38,42,48,46,31,28,30,24,14,7.9,19
2017/01/02,新竹,PM10,76,78,85,89,87,88,92,86,75,69,63,65,62,55,56,59,63,64,60,52,52,56,58,54
2017/01/02,新竹,PM2.5,34,34,40,44,41,42,42,40,36,35,34,34,30,25,26,28,37,33,23,25,25,30,32,28
2017/01/02,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/02,新竹,RH,90,89,89,89,87,87,86,83,79,74,70,70,72,71,70,72,73,77,80,81,81,83,82,81
2017/01/02,新竹,SO2,1.7,2.4,1.7,2,1.8,1.5,1.5,1.7,2,2.4,2.7,2.6,2.3,2.1,2.7,2.3,2.8,2.6,2.3,1.9,2.4,3.1,4.2,3.4
2017/01/02,新竹,THC,2,2,2,2.1,2.1,2,2.1,2.4,2.3,2.1,2,2,1.9,1.9,1.9,1.9,1.9,2,2,2,2.1,2.2,2.2,2.1
2017/01/02,新竹,WD_HR,238,220,187,238,193,184,123,77,67,77,58,296,90,61,58,62,69,66,63,68,64,57,50,62
